"Product","Orientation","Size","Paper","Print Colour","Quantity","Compulsory","Hole Punch","VDP","WMPrice","EMPrice"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","3000","Round Cornering","Not Required","Variable Data Printing (Front)","2538.00","2718.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","3000","Round Cornering","Hole Punching (6mm)","Not Required","2508.00","2688.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","3000","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","2838.00","3018.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","3500","Round Cornering","Not Required","Not Required","2571.00","2781.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","3500","Round Cornering","Not Required","Variable Data Printing (Front)","2951.00","3161.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","3500","Round Cornering","Hole Punching (6mm)","Not Required","2921.00","3131.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","3500","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","3301.00","3511.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","4000","Round Cornering","Not Required","Not Required","2934.00","3174.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","4000","Round Cornering","Not Required","Variable Data Printing (Front)","3364.00","3604.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","4000","Round Cornering","Hole Punching (6mm)","Not Required","3334.00","3574.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","4000","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","3764.00","4004.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","4500","Round Cornering","Not Required","Not Required","3297.00","3567.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","4500","Round Cornering","Not Required","Variable Data Printing (Front)","3777.00","4047.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","4500","Round Cornering","Hole Punching (6mm)","Not Required","3747.00","4017.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","4500","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","4227.00","4497.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","5000","Round Cornering","Not Required","Not Required","3659.00","3959.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","5000","Round Cornering","Not Required","Variable Data Printing (Front)","4189.00","4489.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","5000","Round Cornering","Hole Punching (6mm)","Not Required","4159.00","4459.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Front)","5000","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","4689.00","4989.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","20","Round Cornering","Not Required","Not Required","57.00","67.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","20","Round Cornering","Not Required","Variable Data Printing (Front)","89.00","99.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","20","Round Cornering","Not Required","Variable Data Printing (Back)","89.00","99.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","20","Round Cornering","Not Required","Variable Data Printing (Both)","91.00","101.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","20","Round Cornering","Hole Punching (6mm)","Not Required","59.00","69.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","20","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","91.00","101.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","20","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","91.00","101.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","20","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Both)","93.00","103.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","40","Round Cornering","Not Required","Not Required","73.00","83.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","40","Round Cornering","Not Required","Variable Data Printing (Front)","107.00","117.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","40","Round Cornering","Not Required","Variable Data Printing (Back)","107.00","117.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","40","Round Cornering","Not Required","Variable Data Printing (Both)","111.00","121.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","40","Round Cornering","Hole Punching (6mm)","Not Required","77.00","87.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","40","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Front)","111.00","121.00"
"PVC Card","Portrait","86mm x 54mm","0.80mm Gloss PVC Card","4C (Both)","40","Round Cornering","Hole Punching (6mm)","Variable Data Printing (Back)","111.00","121.00"
