"Size","Paper","Print Colour","Quantity","Packing","WM Price","EM Price"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","700","Loose","119.80","179.80"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","800","Loose","123.40","193.40"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","900","Loose","128.25","198.25"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1000","Loose","133.10","213.10"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1100","Loose","136.75","226.75"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1200","Loose","140.35","240.35"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1300","Loose","146.40","246.40"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1400","Loose","150.05","260.05"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1500","Loose","154.90","274.90"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","500","Pad (100 pcs per pad)","113.75","153.75"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","600","Pad (100 pcs per pad)","119.80","169.80"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","700","Pad (100 pcs per pad)","125.85","185.85"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","800","Pad (100 pcs per pad)","128.25","198.25"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","900","Pad (100 pcs per pad)","134.30","204.30"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1000","Pad (100 pcs per pad)","137.95","217.95"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1100","Pad (100 pcs per pad)","144.00","234.00"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1200","Pad (100 pcs per pad)","147.60","247.60"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1300","Pad (100 pcs per pad)","153.65","253.65"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1400","Pad (100 pcs per pad)","157.30","267.30"
"A4 (210mm x 297mm)","Simili 100gsm","1C (Front)","1500","Pad (100 pcs per pad)","160.95","280.95"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","500","Loose","174.25","214.25"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","600","Loose","177.85","227.85"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","700","Loose","183.90","243.90"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","800","Loose","187.55","257.55"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","900","Loose","191.20","261.20"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1000","Loose","196.00","276.00"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1100","Loose","200.85","290.85"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1200","Loose","204.50","304.50"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1300","Loose","209.35","309.35"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1400","Loose","215.40","325.40"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1500","Loose","217.80","337.80"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","500","Pad (100 pcs per pad)","177.85","217.85"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","600","Pad (100 pcs per pad)","183.90","233.90"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","700","Pad (100 pcs per pad)","188.75","248.75"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","800","Pad (100 pcs per pad)","193.60","263.60"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","900","Pad (100 pcs per pad)","197.25","267.25"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1000","Pad (100 pcs per pad)","200.85","280.85"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1100","Pad (100 pcs per pad)","208.10","298.10"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1200","Pad (100 pcs per pad)","210.55","310.55"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1300","Pad (100 pcs per pad)","216.60","316.60"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1400","Pad (100 pcs per pad)","221.45","331.45"
"A4 (210mm x 297mm)","Simili 100gsm","2C (Front)","1500","Pad (100 pcs per pad)","225.05","345.05"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","10","Loose","25.30","35.30"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","20","Loose","29.70","39.70"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","30","Loose","34.10","44.10"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","40","Loose","39.60","49.60"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","50","Loose","45.10","55.10"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","60","Loose","49.50","59.50"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","70","Loose","55.00","65.00"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","80","Loose","59.40","69.40"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","90","Loose","64.90","74.90"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","100","Loose","70.40","80.40"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","150","Loose","96.80","116.80"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","200","Loose","122.10","142.10"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","250","Loose","148.50","168.50"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","300","Loose","172.70","202.70"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","350","Loose","200.20","230.20"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","400","Loose","224.40","264.40"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","450","Loose","251.90","291.90"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","500","Loose","277.20","317.20"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","600","Loose","333.95","383.95"
"A4 (210mm x 297mm)","Simili 100gsm","4C (Front)","700","Loose","338.80","398.80"
