"Model Category","Model","Size","Paper","Print Colour","Quantity","Lamination","Colour Protective Layer","WM Price","EM Price"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","500","Gloss Lamination (Front)","N/A","1007.10","1327.10"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","500","Matte Lamination (Front)","N/A","1007.10","1327.10"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","500","Matte Lamination (Front) + Spot UV (Front)","N/A","1291.45","1611.45"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","500","Gloss Waterbase Varnish (Front)","N/A","946.60","1256.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","1000","Gloss Lamination (Front)","N/A","1143.40","1783.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","1000","Matte Lamination (Front)","N/A","1143.40","1783.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","1000","Matte Lamination (Front) + Spot UV (Front)","N/A","1514.35","2154.35"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 300gsm (1 side coated)","4C (Front)","1000","Gloss Waterbase Varnish (Front)","N/A","1035.70","1645.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","250","Gloss Lamination (Front)","N/A","522.20","662.20"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","250","Gloss Lamination (Both)","N/A","627.70","777.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","250","Matte Lamination (Front)","N/A","522.20","662.20"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","250","Matte Lamination (Front) + Spot UV (Front)","N/A","816.75","956.75"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","250","Matte Lamination (Both)","N/A","627.70","777.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","250","Matte Lamination (Both) + Spot UV (Front)","N/A","922.20","1072.20"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","250","Gloss Waterbase Varnish (Front)","N/A","478.35","608.35"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","250","Gloss Waterbase Varnish (Both)","N/A","539.95","669.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","300","Gloss Lamination (Front)","N/A","600.75","760.75"
